Time,e_y,e_yaw,e_yawrate,e_beta
33.8,0.00281618472906509,-0.000515035314205371,0.00100984406474746,-5.91387666361945e-05
33.81,0.00268284782843864,-0.000504988685566305,0.000988455421556057,-5.79882651543459e-05
33.82,0.00255228820296338,-0.000495261150346972,0.000967419842657863,-5.68375770858965e-05
33.83,0.00242440886539796,-0.000485636547093892,0.000946740767215868,-5.56861493020213e-05
33.84,0.00229919809486212,-0.000476323958549772,0.000926403361459221,-5.45360908512051e-05
33.85,0.00217656153953349,-0.000467107150045784,0.00090644748955533,-5.3388891736829e-05
33.86,0.00205648567120953,-0.000458194871533167,0.000886867836827517,-5.22476268417207e-05
33.87,0.00193887889633793,-0.000449370632826432,0.000867694616917612,-5.11136081446212e-05
33.88,0.00182372682651355,-0.000440842976769068,0.00084891162122594,-4.99894943182131e-05
33.89,0.0017109411742986,-0.000432395333581333,0.000830541940401362,-4.88762385233963e-05
33.9,0.00160050754070262,-0.000424236181697504,0.000812565743298349,-4.77762264936508e-05
33.91,0.00149234114008756,-0.000416148930031785,0.000795004513843101,-4.66901917828454e-05
33.92,0.00138642813674039,-0.00040834203158534,0.000777837319378895,-4.56204406989594e-05
33.93,0.00128268716953528,-0.000400598884937957,0.000761085265961227,-4.4567549313128e-05
33.94,0.00118110526705628,-0.00039312794169036,0.000744725977706165,-4.35334782544763e-05
33.95,0.00108160414629666,-0.000385712614409402,0.000728776458515248,-4.25184821074892e-05
33.96,0.000984171900887176,-0.000378561436408975,0.000713210603289984,-4.15242100403089e-05
33.97,0.000888732968540751,-0.000371457906007261,0.000698043551724325,-4.05506103249392e-05
33.98,0.000795276528171129,-0.000364610686043234,0.000683248498297709,-3.95990453316432e-05
33.99,0.000703729314070145,-0.000357803378873144,0.000668840100742017,-3.86692022619089e-05
34,0.00122895593142935,0.00317793361835365,0.000654791012949626,-3.77622082643058e-05
34.01,0.00171654393444243,0.00548234233921445,-0.000571237540987008,-9.49792570343286e-05
34.02,0.00240865220994735,0.00777081780843297,-0.00308222662871045,-0.000211766107095725
34.03,0.00328238442772033,0.00998337804401347,-0.00663376527603881,-0.000358015620762502
34.04,0.00433383115481689,0.0121376019364096,-0.0111024614191008,-0.000517368689097992
34.05,0.00563652149680927,0.0143114968175014,-0.0163752380499185,-0.000677168289818168
34.06,0.00730084478153614,0.0164491477487489,-0.022375735013365,-0.000828994557110099
34.07,0.00945385245321262,0.0186889654131594,-0.0290258609249197,-0.000966333645904255
34.08,0.0122347157475549,0.0209377457145893,-0.0362924736796842,-0.00108605019345507
34.09,0.0157739789933018,0.0233488688664642,-0.0441406327673527,-0.00118590312501345
34.1,0.0202031893464767,0.0257802712014329,-0.0525738514465593,-0.00126567616528308
34.11,0.0256064042373776,0.028391218117409,-0.061577582556314,-0.00132464280181549
34.12,0.0320869834804363,0.0309899790960426,-0.0711680009688243,-0.0013632956171244
34.13,0.0396603347480866,0.0337471429747862,-0.081325659245765,-0.00138075165736935
34.14,0.048420762993624,0.0364320815844631,-0.0920459968797837,-0.00137630950510987
34.15,0.0583143008547715,0.0392369019417548,-0.103282752955381,-0.00134762936617558
34.16,0.0694581976533204,0.0419017695376104,-0.115013266897472,-0.0012934948384556
34.17,0.0817240051511021,0.0446462317030349,-0.127149033168717,-0.00120990594263898
34.18,0.0952809714676128,0.0471871537570789,-0.139648578311272,-0.00109534934554729
34.19,0.109915871546931,0.0497742851205589,-0.15238734902344,-0.000945328709093433
34.2,0.125874685925989,0.052103732450569,-0.165283339968438,-0.000757281753135341
34.21,0.142842425569116,0.0544549459413117,-0.178236560320947,-0.000529153238063389
34.22,0.161160829692648,0.0565033650679289,-0.191178172726428,-0.000260330529707587
34.23,0.180391908541521,0.0585564214347828,-0.204006252531229,5.05311792475899e-05
